group,reference,hypothesis,count
Brackets/grouping,curly underbraced,labeled as,1
Fractions/Divisons,fraction,fraction:,1
basic operators,from,equals,1
basic operators,operator,times,1
Brackets/grouping,left angle bracket,inner product of,1
Brackets/grouping,close,star,1
Brackets/grouping,left angle bracket,the average of,1
Superscript/exponents,the exponential,e to,1
Superscript/exponents,square,power,1
optimization operators,the argument,arg min,1
greek letters,bold beta,beta of,1
basic operators,first case,it equals,1
Superscript/exponents,end root,all raised,1
punctuation/separators,of j,j comma,1
Brackets/grouping,of open,evaluated at,1
basic operators,times,then,1
Brackets/grouping,displayed as right arrow,ununennium with mass number,1
punctuation/separators,comma,hash,1
Brackets/grouping,open parenthesis,quantity: the,1
Brackets/grouping,right curly,indexed by,1
Brackets/grouping,open curly brace,of all lower-case,1
Brackets/grouping,vertical bar open parenthesis,pair consisting of lower-case,1
Brackets/grouping,open parenthesis,of lower-case,1
Brackets/grouping,close parenthesis,and lower-case,1
Fractions/Divisons,numerator,numerator:,1
Brackets/grouping,curly brace,quotation mark,1
Brackets/grouping,this square bracket,and that underbrace,1
basic operators,the,times,1
basic operators,of y times the sine of z,followed by a closing double quotation mark,1
Brackets/grouping,sequence,left,1
basic operators,and,equals,1
Brackets/grouping,open,in,1
Fractions/Divisons,in the,divided by,1
Brackets/grouping,close,that,1
Brackets/grouping,open curly brace,a piecewise-defined expression:,1
Brackets/grouping,open parenthesis,following quantities:,1
Fractions/Divisons,fraction with,ratio of,1
basic operators,equal,equals,1
Fractions/Divisons,divided by,numerator and,1
Brackets/grouping,shown as right arrow,ununennium-three-hundred-two with mass number,1
greek letters,alpha all,specific rotation,1
optimization operators,m,max-asa,1
punctuation/separators,end,dots,1
Brackets/grouping,open curly brace all,strings of the form,1
Brackets/grouping,close,is,1
Fractions/Divisons,fraction with numerator,the formula is:,1
Brackets/grouping,square bracket,bracket where,1
Brackets/grouping,sequence open,set of,1
Brackets/grouping,close curly brace,where n runs,1
basic operators,h bar,h-bar times,1
Brackets/grouping,of the quantity,open bracket one-half,1
punctuation/separators,circled dot,solar symbol,1
Brackets/grouping,asterisk close parenthesis,the star symbol,1
Brackets/grouping,close parenthesis,complex conjugate,1
Brackets/grouping,root,quantity,1
punctuation/separators,of j,comma quote,1
Brackets/grouping,open parenthesis,following terms:,1
Brackets/grouping,close,volts,1
Brackets/grouping,open,(two,1
Brackets/grouping,yields shown as right,to three hundred two,1
Brackets/grouping,close,intersect,1
Brackets/grouping,left,open,1
Brackets/grouping,p mod,modulo open,1
basic operators,vertical bar,times where,1
optimization operators,succeeds,dominates,1
integral,d t,dee tee,1
Superscript/exponents,to,cubed,1
Brackets/grouping,asterisk open square bracket,convolved with the quantity,1
Brackets/grouping,close square bracket,where that quantity,1
Brackets/grouping,open,(open,1
Brackets/grouping,open curly,the sequence,1
Brackets/grouping,open,(one,1
Superscript/exponents,degrees,degrees),1
Brackets/grouping,open angle,the left-angle-bracket,1
Brackets/grouping,close,right-angle-bracket,1
Brackets/grouping,left angle bracket bold,vacuum expectation value of,1
punctuation/separators,one third comma,one-third one-half one-half,1
integral,with,dy,1
Superscript/exponents,squaredend,squared,1
Brackets/grouping,left angle bracket,scalar product of,1
integral,integral,conjugate,1
Superscript/exponents,exp,exponential,1
Brackets/grouping,of,parenthesis,1
greek letters,argument,beta,1
Brackets/grouping,end root close,all of that,1
